country_slug,from_nationality,visa_type,name_de,name_en,requirements_de,requirements_en,processing_days,cost_eur,min_income_eur,duration_months,renewable,path_citizenship_years,source_url
ar,DE,,,,,,,,,,false,,
at,DE,,,,,,,,,,false,,
ch,DE,,,,,,,,,,false,,
co,DE,,,,,,,,,,false,,
cz,DE,,,,,,,,,,false,,
de,DE,,,,,,,,,,false,,
ee,DE,,,,,,,,,,false,,
es,DE,,,,,,,,,,false,,
fr,DE,,,,,,,,,,false,,
gb,DE,,,,,,,,,,false,,
ge,DE,,,,,,,,,,false,,
hu,DE,,,,,,,,,,false,,
id,DE,,,,,,,,,,false,,
ie,DE,,,,,,,,,,false,,
it,DE,,,,,,,,,,false,,
mt,DE,,,,,,,,,,false,,
mx,DE,,,,,,,,,,false,,
nl,DE,,,,,,,,,,false,,
pl,DE,,,,,,,,,,false,,
pt,DE,,,,,,,,,,false,,
ro,DE,,,,,,,,,,false,,
sg,DE,,,,,,,,,,false,,
th,DE,,,,,,,,,,false,,
uae,DE,,,,,,,,,,false,,
us,DE,,,,,,,,,,false,,
za,DE,,,,,,,,,,false,,
